#! FIELDS itype jtype eta
1 3 0.100000
3 1 0.100000
1 4 -1.000000
4 1 -1.000000
1 5 -1.000000
5 1 -1.000000
1 6 -1.000000
6 1 -1.000000
1 7 0.800000
7 1 0.800000
1 8 0.3000000
8 1 0.3000000
2 3 -1.500000
3 2 -1.500000
2 4 -1.500000
4 2 -1.500000
2 5 0.000000
5 2 0.000000
2 6 -1.000000
6 2 -1.000000
2 7 0.900000
7 2 0.900000
2 8 0.000000
8 2 0.000000

17 3 0.100000
3 17 0.100000
17 4 -1.000000
4 17 -1.000000
17 5 -1.000000
5 17 -1.000000
17 6 -1.000000
6 17 -1.000000
17 7 0.000000
7 17 0.000000
17 8 -1.500000
8 17 -1.500000

